time,time_local,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2021-03-01 00:00:00,2021-03-01 00:00:00,3.3,3.3,100,0,0,280,6.5,10,1036.6,0,7
2021-03-01 01:00:00,2021-03-01 01:00:00,3.4,3.4,100,0,,270,7.2,10,1036.4,0,4
2021-03-01 02:00:00,2021-03-01 02:00:00,3.5,3.4,99,0,,280,8.6,15,1035.9,0,4
2021-03-01 03:00:00,2021-03-01 03:00:00,3.5,3.2,98,0,,290,8.6,13,1035.9,0,4
2021-03-01 04:00:00,2021-03-01 04:00:00,3.3,3,98,0,,310,7.9,13,1036.1,0,4
2021-03-01 05:00:00,2021-03-01 05:00:00,3.2,2.9,98,0,,310,5.4,9,1036.3,0,7
2021-03-01 06:00:00,2021-03-01 06:00:00,2.9,2.6,98,0,0,290,5.8,9,1036.2,0,4
2021-03-01 07:00:00,2021-03-01 07:00:00,2.6,2,96,0,,300,8.3,11,1036.5,0,4
2021-03-01 08:00:00,2021-03-01 08:00:00,2.6,1.7,94,0,,310,6.1,10,1036.5,0,4
2021-03-01 09:00:00,2021-03-01 09:00:00,3,1.7,91,0,,260,4.7,9,1036.7,0,4
2021-03-01 10:00:00,2021-03-01 10:00:00,3.6,2,89,0,,190,4.7,11,1036.8,0,4
2021-03-01 11:00:00,2021-03-01 11:00:00,4.6,2.5,86,0,,340,4.3,9,1037,0,4
2021-03-01 12:00:00,2021-03-01 12:00:00,6.2,1.5,72,0,0,350,4,8,1036.8,55,3
2021-03-01 13:00:00,2021-03-01 13:00:00,7,2.5,73,0,,310,4.7,11,1036.1,60,2
2021-03-01 14:00:00,2021-03-01 14:00:00,8,3.3,72,0,,300,7.9,14,1035.6,60,2
2021-03-01 15:00:00,2021-03-01 15:00:00,7.9,3.6,74,0,,310,9.4,17,1035.3,60,2
2021-03-01 16:00:00,2021-03-01 16:00:00,7.1,3.5,78,0,,320,11.9,17,1035,60,2
2021-03-01 17:00:00,2021-03-01 17:00:00,6.2,3.5,83,0,,330,10.4,13,1034.9,42,1
2021-03-01 18:00:00,2021-03-01 18:00:00,3.9,2.6,91,0,0,320,7.2,9,1035.1,0,1
2021-03-01 19:00:00,2021-03-01 19:00:00,2.4,1.8,96,0,,330,4,5,1035.3,0,1
2021-03-01 20:00:00,2021-03-01 20:00:00,1.3,1,98,0,,330,3.6,5,1035.3,0,5
2021-03-01 21:00:00,2021-03-01 21:00:00,1,1,100,0,,340,2.9,5,1035.5,0,5
